STN_NAME,lat,lon
D-DOGWOOD,30.159861,-81.713027
DTL,30.138055,-81.727194
DUCKCR,30.103527,-81.7765
EGHBR-LSH,30.112111,-81.74225
EGHBR-N,30.121,-81.727416
EGHBR-S2,30.110027,-81.741722
EGHBR-SSH,30.120833,-81.725194
EGHBR-SSP,30.119666,-81.721027
EGHBR-TRL,30.120388,-81.716444
EGHBR-W,30.12175,-81.733027
EGHBR5,30.118222,-81.745361
EH02,30.111277,-81.729888
EH05TBOX,30.114944,-81.740027
EH15TBOX,30.107027,-81.714888
EH43,30.121,-81.7315
EH48SP,30.114305,-81.730527
EH54,30.117583,-81.744694
EH60,30.104194,-81.735
EH63SP,30.106916,-81.724583
EH68,30.119583,-81.718777
EH88SP,30.112861,-81.743166
EHBRTN,30.118583,-81.725
EHREUSE,30.104222,-81.723777
EHSCHOOL,30.114694,-81.722694
INDIGODLD,30.13325,-81.756
LUCYBR,30.141555,-81.746388
UNNAMETR1,30.121777,-81.760888
UNNAMETR2,30.128277,-81.760277
